,City Name,Country,Latitude,Longitude,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed(MpH),Date
68,Ponta do Sol,BR,-20.63,-46.0,23.33,56,44,1.26,1526159901
69,Waycross,US,31.21,-82.35,31.55,20,40,4.1,1526158740
70,Ribeira Grande,PT,38.52,-28.7,17.0,59,75,4.1,1526155200
71,Manokwari,ID,-0.87,134.08,27.38,100,0,2.41,1526159902
72,Rudnyy,KZ,52.96,63.12,4.0,60,0,4.0,1526157000
73,Necochea,AR,-38.55,-58.74,14.25,70,0,5.71,1526159903
74,Obo,CF,5.39,26.49,20.38,97,80,3.76,1526159903
75,Lagoa,PT,37.14,-8.45,16.0,51,0,4.6,1526158800
76,Stonewall,CA,50.13,-97.33,21.0,13,20,5.7,1526155200
77,Whitehorse,CA,60.72,-135.06,13.0,26,75,7.2,1526155200
78,Barrow,AR,-38.31,-60.23,14.03,53,0,3.56,1526159905
79,Maceio,BR,-9.67,-35.74,25.0,83,0,3.1,1526158800
80,Kurush,RU,41.28,47.83,5.15,96,64,0.66,1526159905
81,Vestmannaeyjar,IS,63.44,-20.27,8.38,83,20,4.36,1526159906
82,Fengcheng,CN,40.45,124.07,5.78,89,36,1.16,1526159906
83,Nantucket,US,41.28,-70.1,10.4,100,90,5.1,1526159700
84,Alekseyevsk,RU,57.84,108.35,-0.78,79,76,1.06,1526159907
85,Tuatapere,NZ,-46.13,167.69,5.1,100,20,2.41,1526159907
86,El Alto,BO,-16.5,-68.19,13.0,26,40,3.6,1526158800
87,Faanui,PF,-16.48,-151.75,27.78,100,88,6.61,1526159908
88,Esperance,TT,10.24,-61.45,28.0,69,75,8.2,1526155200
89,Iqaluit,CA,63.75,-68.52,-9.0,78,90,11.8,1526155200
90,Khao Yoi,TH,13.24,99.82,22.9,98,44,1.31,1526159909
91,Thompson,CA,55.74,-97.86,22.0,24,75,10.3,1526155200
92,Czersk,PL,53.8,17.98,15.68,56,0,3.06,1526159911
93,Saskylakh,RU,71.97,114.09,-11.85,85,64,1.66,1526159912
94,Puerto Ayacucho,CO,5.66,-67.63,33.0,52,40,2.1,1526158800
95,Georgetown,GY,6.8,-58.16,24.0,100,75,1.0,1526158800
96,Pachino,IT,36.72,15.09,15.0,82,0,1.5,1526158200
97,Maine-Soroa,NE,13.21,12.02,29.23,29,0,4.21,1526159913
98,Longyearbyen,NO,78.22,15.63,2.0,74,40,5.7,1526158200
99,Mahibadhoo,MV,3.78,72.97,28.13,100,76,4.21,1526159914
100,Yakeshi,CN,49.28,120.73,0.48,57,8,3.71,1526159914
101,Saint-Philippe,CA,45.36,-73.48,16.5,20,1,2.6,1526157300
102,Bilma,NE,18.69,12.92,33.85,10,32,5.21,1526159915
103,Darhan,MN,49.49,105.92,10.53,90,80,0.71,1526159915
104,Neyvo-Shaytanskiy,RU,57.73,61.25,0.68,53,0,2.21,1526159916
105,Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,4.83,80,0,4.21,1526159916
106,Yellowknife,CA,62.45,-114.38,13.0,47,75,6.2,1526155200
107,Qaanaaq,GL,77.48,-69.36,-10.4,97,12,1.11,1526159917
108,Luau,CD,-10.7,22.23,19.98,82,12,1.06,1526159918
109,Fort Dodge,US,42.5,-94.17,11.4,87,90,6.7,1526158560
110,Kahului,US,20.89,-156.47,26.31,74,40,10.3,1526158560
111,Benguela,AO,-12.58,13.4,25.15,100,12,2.51,1526159919
112,Quatre Cocos,MU,-20.21,57.76,23.0,83,40,1.5,1526155200
113,Huarmey,PE,-10.07,-78.15,22.98,64,0,1.81,1526159920
114,Nanortalik,GL,60.14,-45.24,0.98,93,68,2.56,1526159920
115,Takoradi,GH,4.89,-1.75,25.78,99,32,4.26,1526159921
116,Tuktoyaktuk,CA,69.44,-133.03,-3.09,79,75,9.8,1526155200
117,Hamilton,BM,32.3,-64.78,25.0,78,75,4.6,1526158500
118,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,6.0,70,36,2.0,1526157000
119,Moron,VE,10.49,-68.2,30.0,66,40,4.1,1526158800
120,Sorong,ID,-0.86,131.25,27.63,100,0,0.96,1526159923
121,Manica,MZ,-18.94,32.88,21.0,88,40,1.06,1526155200
122,Bredasdorp,ZA,-34.53,20.04,14.15,96,24,0.16,1526159924
123,Mehamn,NO,71.03,27.85,2.1,85,0,1.06,1526159924
124,Kapaa,US,22.08,-159.32,25.93,78,40,6.2,1526158560
125,Sergeyevka,KZ,53.88,67.42,0.38,67,0,5.66,1526159925
126,San Patricio,PY,-26.98,-56.83,19.33,74,0,1.26,1526159926
127,Luganville,VU,-15.51,167.18,26.78,99,8,5.01,1526159926
128,Quelimane,MZ,-17.88,36.89,23.0,88,0,1.5,1526155200
129,Ahuimanu,US,21.44,-157.84,27.26,74,1,4.6,1526158620
130,Ospitaletto,IT,45.56,10.07,18.6,82,40,1.0,1526158500
131,Cabra,ES,37.47,-4.43,15.0,51,0,2.6,1526158800
132,Hobart,AU,-42.88,147.33,10.0,87,40,4.1,1526158800
133,Tumaco,CO,1.8,-78.82,25.88,98,92,1.76,1526159928
134,Rudnogorsk,RU,57.27,103.75,4.38,94,68,2.46,1526159928
135,Serenje,ZM,-13.23,30.22,17.33,60,0,3.06,1526159929
136,Mar del Plata,AR,-46.43,-67.52,6.4,95,56,3.31,1526159929
137,Vila Franca do Campo,PT,37.72,-25.43,16.0,67,75,3.6,1526158800
138,Avarua,CK,-21.21,-159.78,25.0,73,75,5.7,1526158800
139,Namibe,AO,-15.19,12.15,22.5,100,0,5.76,1526159931
140,Tabas,IR,33.6,56.92,16.9,58,92,4.51,1526159931
141,Miandrivazo,MG,-19.53,45.46,18.1,79,0,0.96,1526159932
142,Sokoni,CD,-12.89,28.78,19.6,57,64,2.56,1526159932
143,Sukumo,JP,32.94,132.72,17.93,95,80,2.61,1526159933
144,Oranjestad,AW,12.52,-70.03,31.0,74,20,10.3,1526155200
145,Leningradskiy,RU,69.38,178.42,-11.58,98,0,6.16,1526159935
146,Cabo San Lucas,MX,22.89,-109.91,29.53,37,20,5.1,1526157660
147,Nikolskoye,RU,59.7,30.79,12.0,62,0,1.16,1526157000
148,Boende,CD,-0.28,20.88,21.53,100,36,1.86,1526159936
149,Ambanja,MG,-13.68,48.45,20.78,88,20,1.61,1526159936
150,Mount Gambier,AU,-37.83,140.78,12.1,84,92,2.21,1526159936
151,Sur,OM,22.57,59.53,30.78,79,0,5.71,1526159937
152,Mahebourg,MU,-20.41,57.7,23.0,83,40,1.5,1526155200
153,Aquidauana,BR,-20.47,-55.78,23.33,67,12,1.91,1526159938
154,Srandakan,ID,-7.94,110.25,23.5,87,76,1.51,1526159938
155,Clyde River,CA,70.47,-68.59,-11.0,78,75,10.3,1526155200
156,Cartagena,ES,37.63,-1.0,19.0,82,0,2.6,1526158800
157,Comodoro Rivadavia,AR,-45.87,-67.48,7.0,81,75,2.6,1526158800
158,Cherskiy,RU,68.75,161.3,-2.4,83,44,1.21,1526159941
159,Bambous Virieux,MU,-20.34,57.76,23.0,83,40,1.5,1526155200
160,Bonthe,SL,7.53,-12.5,27.03,84,36,2.56,1526159942
161,Bathsheba,BB,13.22,-59.52,27.0,74,20,10.3,1526158800
162,Klaksvik,FO,62.23,-6.59,7.0,87,0,2.1,1526158200
163,Vostok,RU,46.45,135.83,9.85,85,76,0.76,1526159943
164,Fremont,US,37.55,-121.99,23.67,41,1,8.2,1526158560
165,Mackay,CA,53.65,-115.58,22.0,26,75,7.2,1526155200
166,Puerto Madryn,AR,-42.77,-65.04,11.85,89,76,3.21,1526159884
167,Haverfordwest,GB,51.8,-4.97,8.0,81,48,3.6,1526158200
168,Bijawar,IN,24.62,79.49,22.53,74,0,1.86,1526159946
169,Port Elizabeth,US,39.31,-74.98,24.81,65,1,2.6,1526158560
170,Kenora,CA,49.76,-94.48,16.19,30,1,2.6,1526159700
171,Talcahuano,CL,-36.72,-73.12,14.0,87,0,3.6,1526158800
172,Rio Gallegos,AR,-51.62,-69.22,6.0,87,20,1.0,1526158800
173,Chapais,CA,49.78,-74.86,7.0,39,75,9.8,1526156100
174,Pareora,NZ,-44.49,171.21,3.93,100,88,1.36,1526159949
175,Lima,PE,-12.06,-77.04,20.08,71,12,1.26,1526159723
176,Fort Nelson,CA,58.81,-122.69,21.0,28,75,6.2,1526155200
177,Cividale del Friuli,IT,46.09,13.43,18.42,88,0,2.1,1526158500
178,Venustiano Carranza,MX,19.42,-99.11,24.93,18,40,3.6,1526158320
179,Northam,GB,51.04,-4.21,9.5,87,20,2.1,1526158200
180,Batemans Bay,AU,-35.71,150.18,13.1,100,92,5.41,1526159951
181,Arlit,NE,18.74,7.39,33.53,14,68,4.81,1526159951
182,Wattegama,LK,7.35,80.68,21.15,97,92,1.41,1526159951
183,Flin Flon,CA,54.77,-101.88,24.0,22,75,10.3,1526155200
184,Coihaique,CL,-45.58,-72.07,5.55,75,90,0.96,1526158800
185,Evensk,RU,61.92,159.24,0.98,87,8,3.31,1526159953
186,Jiayuguan,CN,39.77,98.29,4.35,43,0,1.16,1526159953
187,Isangel,VU,-19.55,169.27,25.53,100,0,5.36,1526159954
188,Channel-Port aux Basques,CA,47.57,-59.14,2.1,95,32,7.01,1526159954
189,Meulaboh,ID,4.14,96.13,26.48,100,20,1.91,1526159955
190,Yantal,RU,56.85,105.25,4.13,86,92,1.96,1526159955
191,Kedrovyy,RU,56.17,91.82,5.0,93,40,1.06,1526157000
192,Jumla,NP,29.28,82.18,1.03,84,24,1.16,1526159956
193,Namwala,ZM,-15.75,26.45,19.65,63,76,2.81,1526159956
194,Gopalur,IN,16.62,77.8,22.28,86,0,3.91,1526159957
195,Viedma,AR,-40.81,-62.99,12.88,60,36,2.61,1526159957
196,Saint George,GR,39.45,22.34,15.0,93,0,1.66,1526158200
197,Hambantota,LK,6.12,81.12,25.93,100,44,5.96,1526159958
198,Nelson Bay,AU,-32.72,152.14,15.0,54,90,5.7,1526158800
199,Burnie,AU,-41.05,145.91,12.13,100,0,3.41,1526159959
200,Port Lincoln,AU,-34.72,135.86,14.28,100,88,3.46,1526159959
201,Boyolangu,ID,-8.09,111.9,21.38,92,12,2.06,1526159959
202,Anadyr,RU,64.73,177.51,-7.0,85,90,3.0,1526155200
203,Ostrovnoy,RU,68.05,39.51,1.38,89,68,2.16,1526159960
204,Sindor,RU,62.87,51.9,0.5,75,8,2.16,1526159960
205,Kikwit,CD,-5.04,18.82,22.33,95,0,1.76,1526159961
206,Saldanha,PT,41.42,-6.55,8.1,46,0,4.31,1526159961
207,Gandajika,CD,-6.75,23.95,22.78,91,0,1.01,1526159961
208,Kieta,PG,-6.22,155.63,26.15,100,12,1.01,1526159962
209,Areosa,PT,41.72,-8.86,9.43,76,20,3.1,1526158800
210,Arman,RU,59.7,150.17,2.0,59,0,3.0,1526155200
211,Coahuayana,MX,18.62,-100.35,29.38,47,0,1.36,1526159962
212,Katsuura,JP,33.93,134.5,14.98,90,92,2.26,1526159963
213,Provideniya,RU,64.42,-173.23,-0.75,100,92,4.06,1526159963
214,Moura,PT,38.14,-7.45,11.0,62,0,5.1,1526158800
215,Ambilobe,MG,-13.19,49.05,25.0,71,8,4.36,1526159964
216,Lorengau,PG,-2.02,147.27,28.6,100,92,2.96,1526159964
217,Santiago,CL,-33.44,-70.65,20.5,26,0,3.1,1526158800
218,Cochrane,CL,-47.25,-72.57,2.0,85,56,0.71,1526159965
219,Sitka,US,37.17,-99.65,35.83,30,0,1.41,1526159966
220,Urrao,CO,6.32,-76.13,23.0,73,75,1.11,1526158800
221,Bandarbeyla,SO,9.49,50.81,28.73,100,0,4.66,1526159966
222,Khatanga,RU,71.98,102.47,-18.33,68,0,1.51,1526159966
223,Towada,JP,40.61,141.21,11.98,70,92,0.96,1526159967
224,Onega,RU,63.91,38.09,7.28,74,8,3.06,1526159967
225,La Ronge,CA,55.1,-105.3,24.0,27,75,7.7,1526155200
226,Carnarvon,ZA,-30.97,22.13,5.1,76,0,4.06,1526159968
227,Victor Harbor,AU,-35.55,138.62,13.0,82,40,3.6,1526158800
228,Pilot Butte,CA,50.48,-104.42,16.0,44,75,6.2,1526155200
229,Haines Junction,CA,60.75,-137.51,5.83,36,8,2.21,1526159969
230,Port Alberni,CA,49.24,-124.81,17.46,63,20,5.1,1526155200
231,Nome,US,30.04,-94.42,31.23,52,1,5.1,1526157300
232,Porto Belo,BR,-27.15,-48.54,20.94,68,20,3.1,1526158800
233,Kruisfontein,ZA,-34.0,24.73,14.73,94,44,4.26,1526159970
234,Acari,BR,-6.44,-36.64,26.53,64,44,5.01,1526159971
235,Don Benito,ES,38.95,-5.86,12.85,43,0,6.11,1526159971
236,Pathein,MM,16.78,94.73,24.4,94,8,1.26,1526159971
237,Tezu,IN,27.93,96.16,16.6,70,88,0.71,1526159972
238,Mount Darwin,ZW,-16.77,31.58,16.15,92,0,1.21,1526159972
239,Neiafu,TO,-18.65,-173.98,26.0,69,40,6.2,1526158800
240,Fortuna,ES,38.18,-1.13,19.0,88,20,6.01,1526158800
241,Yaan,NG,7.38,8.57,26.43,84,32,4.86,1526159974
242,Mpika,ZM,-11.84,31.4,15.25,67,0,2.31,1526159974
243,Falmouth,GB,50.16,-5.07,8.0,87,8,0.5,1526158200
244,Otradnoye,RU,59.77,30.8,12.0,62,0,1.16,1526157000
245,Saint-Louis,CH,47.59,7.56,16.3,59,75,5.1,1526158800
246,Lubango,AO,-14.92,13.49,15.53,95,0,0.96,1526159976
247,Kortkeros,RU,61.81,51.56,5.0,60,0,1.0,1526157000
248,Soyo,AO,-6.13,12.37,22.58,100,92,2.06,1526159977
249,Staunton,US,38.15,-79.07,30.44,33,1,5.7,1526158380
250,Yulara,AU,-25.24,130.99,6.0,67,0,3.1,1526158800
251,Usinsk,RU,66.0,57.56,-0.23,87,56,4.01,1526159978
252,Dire,ET,9.18,38.92,11.73,50,0,2.56,1526159978
253,Sinnamary,GF,5.38,-52.96,24.6,100,88,1.66,1526159978
254,San Cristobal,EC,-0.39,-78.55,19.0,55,40,6.2,1526158800
255,Saint Anthony,US,43.97,-111.68,11.22,51,1,7.7,1526158560
256,Karratha,AU,-20.74,116.85,18.38,26,0,6.61,1526159846
257,Inhambane,MZ,-23.87,35.38,22.08,100,32,3.76,1526159980
258,Najran,SA,17.54,44.22,29.0,18,5,1.21,1526155200
259,Manta,RO,45.1,24.1,12.33,99,92,2.16,1526159981
260,Goderich,CA,43.74,-81.71,14.83,63,0,2.66,1526159981
261,Boa Vista,BR,2.82,-60.67,29.9,70,88,3.06,1526159835
262,Obilnoye,RU,44.25,43.56,12.0,76,75,4.0,1526157000
263,Chuy,UY,-33.69,-53.46,15.98,77,0,6.56,1526159983
264,Kabalo,CD,-6.05,26.92,24.08,82,8,1.86,1526159983
265,Tessalit,ML,20.2,1.01,25.93,12,8,3.56,1526159983
266,Port Blair,IN,11.67,92.75,28.75,100,36,0.81,1526159984
267,Yatou,CM,3.63,9.81,27.0,83,40,2.6,1526155200
268,Ancud,CL,-41.87,-73.83,12.53,97,88,1.96,1526159984
269,Hvide Sande,DK,56.01,8.13,12.51,58,8,5.7,1526158200
270,Vao,EE,59.1,26.19,11.35,51,0,1.31,1526159985
271,Keflavik,IS,64.0,-22.56,9.07,87,75,3.6,1526158800
272,Cape Town,ZA,-33.93,18.42,13.0,100,20,3.1,1526155200
273,Caconda,AO,-13.73,15.06,18.15,60,12,2.41,1526159986
274,Hofn,IS,64.25,-15.21,7.33,95,92,1.51,1526159986
275,Praia,BR,-20.25,-43.81,25.46,41,0,2.6,1526155200
276,Sartell,US,45.62,-94.21,16.37,29,1,2.6,1526157300
277,Egvekinot,RU,66.32,-179.17,-2.68,90,56,1.16,1526159988
278,Harper,US,30.3,-99.24,30.66,40,1,6.7,1526158260
279,Faya,SA,18.39,42.45,22.0,43,5,0.96,1526155200
280,Grand Gaube,MU,-20.01,57.66,23.0,83,40,1.5,1526155200
281,Wencheng,CN,27.79,120.09,17.9,93,0,0.76,1526159990
282,Aklavik,CA,68.22,-135.01,5.0,93,90,3.1,1526155200
283,Nipawin,CA,53.36,-104.02,23.0,23,1,8.2,1526155200
284,Bakchar,RU,57.02,82.07,4.35,98,92,2.71,1526159991
285,Constitucion,MX,23.99,-104.67,29.0,14,75,4.6,1526158080
286,Peniche,PT,39.36,-9.38,11.5,62,20,4.6,1526158800
287,Pundaguitan,PH,6.37,126.17,26.15,100,64,2.51,1526159992
288,Skjervoy,NO,70.03,20.97,6.35,92,0,2.36,1526159992
289,Alofi,NU,-19.06,-169.92,26.0,69,40,8.2,1526155200
290,Bayir,TR,37.27,28.22,20.0,45,0,3.6,1526158200
291,Cayenne,GF,4.94,-52.33,26.0,88,75,2.6,1526158800
292,Tual,ID,-5.67,132.75,28.0,100,80,6.16,1526159994
293,Keuruu,FI,62.26,24.71,10.98,81,0,2.6,1526158200
294,Lasa,CY,34.92,32.53,19.12,82,20,1.5,1526158800
295,Ajdabiya,LY,30.75,20.22,16.25,93,0,3.46,1526159995
296,Tomatlan,MX,19.93,-105.25,31.63,49,12,2.56,1526159995
297,Peace River,CA,56.23,-117.29,23.0,27,75,5.1,1526155200
298,Awjilah,LY,29.14,21.3,24.08,34,32,5.96,1526159996
299,Saint-Francois,FR,46.42,3.91,9.0,87,64,2.1,1526158800
300,Portland,US,45.52,-122.67,19.74,56,1,2.1,1526158380
301,Kununurra,AU,-15.77,128.74,18.0,31,0,4.6,1526158800
302,Qasigiannguit,GL,68.82,-51.19,1.0,86,92,2.1,1526158200
303,Bubaque,GW,11.28,-15.83,25.0,73,0,2.6,1526158800
304,Ugoofaaru,MV,5.67,73.0,28.53,100,64,5.61,1526159997
305,Baza,ES,37.49,-2.77,11.23,45,0,2.31,1526159998
306,Mabay,CU,20.35,-76.78,30.0,62,75,5.7,1526158380
307,Esso,RU,55.93,158.7,1.38,91,0,1.11,1526159998
308,Kaeo,NZ,-35.1,173.78,17.9,100,92,4.56,1526159999
309,Aden,YE,12.79,45.03,29.1,100,0,6.56,1526159999
310,Khorixas,NA,-20.37,14.96,16.68,74,0,1.51,1526159999
311,Miguel Hidalgo,MX,19.41,-99.19,24.98,18,40,3.6,1526158320
312,Veraval,FR,49.65,0.71,9.0,93,90,3.6,1526158800
313,Russkaya Polyana,RU,53.78,73.88,2.13,72,32,6.81,1526160001
314,Aykhal,RU,65.95,111.51,-9.83,84,68,1.31,1526160002
315,Bud,NO,62.91,6.91,7.59,71,24,3.6,1526158200
316,Broken Hill,AU,-31.97,141.45,10.25,90,88,6.46,1526160002
317,Joshimath,IN,30.57,79.57,-2.93,94,68,0.26,1526160003
318,Nazilli,TR,37.91,28.32,13.18,74,0,0.86,1526160003
319,Bad Kreuznach,DE,49.84,7.87,18.37,52,90,3.1,1526158560
320,Upernavik,GL,72.79,-56.15,-5.53,100,92,7.81,1526160004
321,Sao Jose da Coroa Grande,BR,-8.9,-35.15,25.65,86,44,3.11,1526160005
322,Corowa,AU,-36.0,146.39,6.48,71,0,5.7,1526158800
323,Vila,IT,45.18,8.4,18.02,82,75,2.1,1526156400
324,Oussouye,SN,12.49,-16.54,22.52,88,0,2.1,1526158800
325,Zhanakorgan,KZ,43.91,67.25,16.83,93,64,3.36,1526160007
326,Salalah,OM,17.01,54.1,29.0,83,40,2.6,1526154600
327,Cascais,PT,38.7,-9.42,12.01,66,20,4.6,1526158800
328,Kemin,KG,42.79,75.7,9.15,97,92,0.76,1526160008
329,Kamenka,RU,53.19,44.05,12.23,66,48,1.51,1526160009
330,Cap Malheureux,MU,-19.98,57.61,23.0,83,40,1.5,1526155200
331,Kavieng,PG,-2.57,150.8,28.98,100,92,4.51,1526160009
332,Hasaki,JP,35.73,140.83,15.0,87,75,3.1,1526157000
333,Puerto Escondido,MX,15.86,-97.07,30.0,66,40,5.1,1526157900
334,Mitsamiouli,KM,-11.38,43.28,27.0,69,20,2.6,1526155200
335,Sola,NO,58.89,5.65,9.44,66,0,2.1,1526158200
336,Saint-Donat-de-Montcalm,CA,46.32,-74.22,13.5,39,0,2.41,1526159986
337,Kingaroy,AU,-26.54,151.84,6.75,90,0,4.81,1526160011
338,Awbari,LY,26.59,12.77,30.65,17,92,2.86,1526160012
339,Victoria,BN,5.28,115.24,25.49,94,75,1.46,1526157000
340,Bontang,ID,0.12,117.47,26.48,100,24,0.86,1526160013
341,Hatillo,PR,18.49,-66.83,26.0,61,90,2.6,1526158200
342,Ramhormoz,IR,31.28,49.6,28.0,51,40,3.1,1526155200
343,Torres,BR,-29.34,-49.73,18.98,92,0,4.61,1526160014
344,Blairmore,CA,49.61,-114.44,19.5,48,1,5.1,1526155200
345,Staryy Nadym,RU,65.61,72.68,-9.08,86,24,3.31,1526160015
346,Guerrero Negro,MX,27.97,-114.04,21.15,60,0,3.96,1526160015
347,Kostomuksha,RU,64.59,30.6,11.63,76,12,0.76,1526160015
348,Christchurch,NZ,-43.53,172.64,9.0,81,92,1.5,1526158800
349,Novogornyy,RU,55.63,60.79,1.0,55,0,2.0,1526157000
350,Doka,SD,13.52,35.76,27.58,45,8,1.81,1526160016
351,Jacareacanga,BR,-6.22,-57.76,30.63,61,12,1.76,1526160017
352,Medeiros Neto,BR,-17.37,-40.22,24.23,79,8,2.81,1526160017
353,San Rafael,AR,-34.61,-68.33,19.0,43,0,2.51,1526159904
354,Forbes,AU,-33.38,148.01,6.65,78,0,3.86,1526160018
355,Coquimbo,CL,-29.95,-71.34,15.0,77,90,3.6,1526158800
356,Lethem,GY,3.38,-59.8,31.5,56,64,4.76,1526160018
357,Mount Isa,AU,-20.73,139.49,13.0,68,12,4.1,1526158800
358,Yarada,IN,17.65,83.27,29.83,98,76,7.06,1526160019
359,Herat,AF,34.35,62.22,12.48,77,24,2.01,1526160019
360,Deputatskiy,RU,69.3,139.9,-8.33,94,76,1.76,1526160020
361,Fare,PF,-16.7,-151.02,27.93,99,56,6.91,1526160021
362,Honiara,SB,-9.43,159.96,24.0,94,75,2.1,1526158800
363,Luderitz,NA,-26.65,15.16,13.48,93,80,4.01,1526160022
364,Muli,IN,22.62,71.45,27.75,73,0,5.41,1526160022
365,Nyurba,RU,63.29,118.35,-4.88,75,0,1.21,1526160022
366,Ferrol,ES,43.48,-8.23,8.45,81,40,3.6,1526158800
367,Reconquista,AR,-29.14,-59.64,18.4,82,0,1.46,1526160023
368,Tarakan,ID,3.3,117.63,26.03,100,20,1.36,1526160023
369,Lavrentiya,RU,65.58,-170.99,-1.15,100,92,2.76,1526160023
370,Sorland,NO,67.67,12.69,7.75,92,92,0.46,1526160024
371,Taoudenni,ML,22.68,-3.98,24.25,17,0,1.16,1526160024
